file,size,q,progressive
10745.jpg,8678,75,1
10746.jpg,692895,36,1
10747.jpg,2467,82,1
10748.jpg,8984,82,1
10749.jpg,108322,82,1
1075.jpg,4638,75,1
10750.jpg,49477,0,1
10751.jpg,12608,82,1
10752.jpg,11539,80,1
10753.jpg,532493,95,1
10754.jpg,101243,82,1
10755.jpg,7.23911M,99,1
10756.jpg,52558,90,1
10757.jpg,7334,82,1
10758.jpg,19684,82,1
10759.jpg,35987,80,1
1076.jpg,2373,90,1
10760.jpg,8646,99,1
10761.jpg,13716,82,1
10762.jpg,34647,80,1
10763.jpg,26568,94,1
10764.jpg,6884,85,1
10765.jpg,17889,75,1
10766.jpg,3299,80,1
10767.jpg,80854,90,1
10768.jpg,3793,90,1
10769.jpg,79522,95,1
1077.jpg,21311,63,1
10770.jpg,9013,90,1
10771.jpg,114936,85,1
10772.jpg,36258,100,1
10773.jpg,360983,99,1
10774.jpg,3337,82,1
10775.jpg,25978,97,1
10776.jpg,1096,60,1
10777.jpg,7072,80,1
10778.jpg,14124,93,1
10779.jpg,188680,85,1
1078.jpg,16197,80,1
10780.jpg,41584,75,1
10781.jpg,1507,85,0
10782.jpg,13695,60,1
10783.jpg,49906,90,1
10784.jpg,28661,86,1
10785.jpg,118405,90,1
10786.jpg,3586,90,1
10787.jpg,39204,87,1
10788.jpg,4414,80,1
10789.jpg,16998,86,1
1079.jpg,11216,82,1
10790.jpg,5161,90,1
10791.jpg,12547,90,1
10792.jpg,30699,50,1
10793.jpg,6309,80,1
10794.jpg,10904,99,1
10795.jpg,14324,75,1
10796.jpg,3386,60,1
10797.jpg,44356,50,1
10798.jpg,245355,86,1
10799.jpg,3246,92,1
108.jpg,37591,90,1
1080.jpg,25721,82,1
10800.jpg,268295,99,1
10801.jpg,7984,85,1
10802.jpg,351,99,1
10803.jpg,36756,95,1
10804.jpg,2457,95,1
10805.jpg,42075,99,1
10806.jpg,37273,62,1
10807.jpg,92900,99,1
10808.jpg,4663,92,1
10809.jpg,46941,90,1
1081.jpg,22209,94,1
10810.jpg,109041,80,1
10811.jpg,34822,85,1
10812.jpg,53769,91,1
10813.jpg,35583,99,1
